int64_field_0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
276,2.0,2019-01-01 00:23:31.000000 UTC,2019-01-01 00:33:45.000000 UTC,2.0,0.85,1.0,false,162,161,1.0,7.5,0.5,0.5,1.76,0.0,0.3,10.56,
277,2.0,2019-01-01 00:35:06.000000 UTC,2019-01-01 00:56:01.000000 UTC,1.0,1.01,1.0,false,161,164,2.0,12.5,0.5,0.5,0.0,0.0,0.3,13.8,
278,2.0,2019-01-01 00:58:44.000000 UTC,2019-01-01 01:05:06.000000 UTC,1.0,0.64,1.0,false,164,170,1.0,5.5,0.5,0.5,1.02,0.0,0.3,7.82,
279,2.0,2019-01-01 00:28:15.000000 UTC,2019-01-01 00:52:51.000000 UTC,1.0,15.31,1.0,false,132,226,2.0,41.5,0.5,0.5,0.0,0.0,0.3,42.8,
280,2.0,2019-01-01 00:53:45.000000 UTC,2019-01-01 01:10:48.000000 UTC,1.0,4.44,1.0,false,226,142,1.0,16.0,0.5,0.5,5.19,0.0,0.3,22.49,
281,1.0,2019-01-01 00:09:20.000000 UTC,2019-01-01 00:27:18.000000 UTC,2.0,2.1,1.0,false,48,229,2.0,13.0,0.5,0.5,0.0,0.0,0.3,14.3,
282,1.0,2019-01-01 00:32:07.000000 UTC,2019-01-01 00:39:28.000000 UTC,2.0,2.1,1.0,false,229,262,1.0,8.5,0.5,0.5,4.0,0.0,0.3,13.8,
283,1.0,2019-01-01 00:40:58.000000 UTC,2019-01-01 01:02:32.000000 UTC,2.0,4.5,1.0,false,262,145,2.0,16.0,0.5,0.5,0.0,0.0,0.3,17.3,
284,2.0,2019-01-01 00:35:09.000000 UTC,2019-01-01 00:44:14.000000 UTC,2.0,1.03,1.0,false,249,125,2.0,7.5,0.5,0.5,0.0,0.0,0.3,8.8,
285,2.0,2019-01-01 00:25:13.000000 UTC,2019-01-01 01:03:38.000000 UTC,1.0,3.42,1.0,false,142,90,1.0,23.0,0.5,0.5,4.86,0.0,0.3,29.16,
286,2.0,2019-01-01 00:08:47.000000 UTC,2019-01-01 00:19:46.000000 UTC,1.0,3.25,1.0,false,24,140,1.0,11.5,0.5,0.5,2.56,0.0,0.3,15.36,
287,2.0,2019-01-01 00:23:29.000000 UTC,2019-01-01 00:43:20.000000 UTC,1.0,3.33,1.0,false,263,48,1.0,15.0,0.5,0.5,3.26,0.0,0.3,19.56,
288,2.0,2019-01-01 00:49:14.000000 UTC,2019-01-01 01:06:32.000000 UTC,1.0,3.82,1.0,false,50,24,1.0,15.0,0.5,0.5,3.26,0.0,0.3,19.56,
289,2.0,2019-01-01 00:29:46.000000 UTC,2019-01-01 00:44:06.000000 UTC,2.0,3.34,1.0,false,234,263,2.0,13.0,0.5,0.5,0.0,0.0,0.3,14.3,
290,2.0,2019-01-01 00:50:25.000000 UTC,2019-01-01 00:58:33.000000 UTC,1.0,1.6,1.0,false,237,233,1.0,8.0,0.5,0.5,1.86,0.0,0.3,11.16,
291,1.0,2019-01-01 00:03:06.000000 UTC,2019-01-01 00:11:51.000000 UTC,1.0,1.0,1.0,false,249,114,2.0,7.0,0.5,0.5,0.0,0.0,0.3,8.3,
292,1.0,2019-01-01 00:12:34.000000 UTC,2019-01-01 00:45:47.000000 UTC,1.0,1.3,1.0,false,114,90,2.0,19.0,0.5,0.5,0.0,0.0,0.3,20.3,
293,1.0,2019-01-01 00:58:21.000000 UTC,2019-01-01 01:16:37.000000 UTC,1.0,2.2,1.0,false,186,229,1.0,13.0,0.5,0.5,4.25,0.0,0.3,18.55,
294,1.0,2019-01-01 00:24:18.000000 UTC,2019-01-01 00:39:54.000000 UTC,1.0,2.1,1.0,false,79,233,1.0,11.0,0.5,0.5,3.65,0.0,0.3,15.95,
295,1.0,2019-01-01 00:45:58.000000 UTC,2019-01-01 00:51:17.000000 UTC,2.0,0.9,1.0,false,233,137,2.0,5.5,0.5,0.5,0.0,0.0,0.3,6.8,
296,1.0,2019-01-01 00:52:41.000000 UTC,2019-01-01 01:16:24.000000 UTC,1.0,9.1,1.0,false,137,243,2.0,27.5,0.5,0.5,0.0,0.0,0.3,28.8,
297,1.0,2019-01-01 00:13:51.000000 UTC,2019-01-01 00:39:27.000000 UTC,2.0,9.8,1.0,false,158,14,1.0,29.5,0.5,0.5,6.25,0.56,0.3,37.61,
298,1.0,2019-01-01 00:45:19.000000 UTC,2019-01-01 00:55:53.000000 UTC,0.0,1.0,1.0,false,107,170,2.0,8.0,0.5,0.5,0.0,0.0,0.3,9.3,
299,2.0,2019-01-01 00:24:24.000000 UTC,2019-01-01 00:29:00.000000 UTC,2.0,1.13,1.0,false,43,75,1.0,5.5,0.5,0.5,13.2,0.0,0.3,20.0,
300,2.0,2019-01-01 00:34:48.000000 UTC,2019-01-01 00:46:16.000000 UTC,2.0,2.01,1.0,false,236,74,1.0,10.0,0.5,0.5,1.58,0.0,0.3,12.88,
301,2.0,2019-01-01 00:47:25.000000 UTC,2019-01-01 01:06:26.000000 UTC,2.0,5.98,1.0,false,74,234,1.0,20.5,0.5,0.5,4.36,0.0,0.3,26.16,
302,1.0,2019-01-01 00:45:19.000000 UTC,2019-01-01 01:10:46.000000 UTC,2.0,3.5,1.0,false,107,143,1.0,18.0,0.5,0.5,3.85,0.0,0.3,23.15,
303,2.0,2019-01-01 00:05:29.000000 UTC,2019-01-01 00:15:00.000000 UTC,2.0,1.9,1.0,false,229,164,2.0,9.0,0.5,0.5,0.0,0.0,0.3,10.3,
